latitude_band_far_north,latitude_band_far_south,latitude_band_mid_north,latitude_band_mid_south,latitude_band_near_equator_north,latitude_band_near_equator_south,longitude_band_east_1,longitude_band_east_2,longitude_band_east_3,longitude_band_west_1,longitude_band_west_2,longitude_band_west_3,depth_category_above_reference,depth_category_deep,depth_category_intermediate,depth_category_shallow,type_earthquake,type_experimental explosion,type_explosion,type_ice quake,type_landslide,type_mining explosion,type_other event,type_quarry blast,status_automatic,status_reviewed,net_ak,net_av,net_ci,net_hv,net_mb,net_nc,net_nm,net_pr,net_se,net_tx,net_us,net_uu,net_uw,latitude,longitude,absolute_latitude,absolute_longitude,north_south,east_west,depth_signed_log,gap,nst_log,dmin_log,rms_log,horizontalError_log,depthError_log,total_location_error_log,station_coverage,gap_per_station,distance_per_station,error_per_station,mag
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7979662028764706,0.005593271292689939,0.6361153965141704,0.9882993325703321,1.0,0.0,0.40504704410738024,0.4911242603550296,0.34490290686970765,0.01597039873410493,0.04566746981768325,0.0752768390966209,0.16375652298189305,0.13358683068742425,0.0022346368715083797,0.08373753705200752,0.0033405192201048134,0.02076675250788904,1.14
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3862073719571873,0.8347805284920369,0.1027087162025114,0.6658924280247421,0.0,1.0,0.506865063884747,0.41124260355029585,0.5123040350637262,0.40903537127768647,0.33733616000764166,0.531054441177957,0.4339847209929223,0.5396022677497722,0.007456140350877193,0.027489595496871164,0.07534469609330145,0.09028014450357637,4.6
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5745604294056473,0.06820951109338158,0.23373756442219584,0.8616764856680451,1.0,0.0,0.6031762341892141,0.6686390532544378,0.5968364575396266,0.023016400067319157,0.07406295134056912,0.12135031991245068,0.12957218398214784,0.13054227394834983,0.007810320781032078,0.026888839331344838,0.0011774524830440638,0.005127567803403484,1.95
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8779305393079593,0.08133484998941415,0.7801397690184821,0.8351343652394945,1.0,0.0,0.3733969330824479,0.10650887573964497,0.5309786630455564,0.109990904124099,0.17830409004444728,0.29248449301651996,0.3160170518183686,0.3290522431551321,0.02585034013605442,0.007720291026677445,0.009640350651687704,0.02904451219653781,2.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7479516653539647,0.1932234294839109,0.5460338338547484,0.6088727673450527,1.0,0.0,0.31599584722154184,0.23668639053254437,0.36857068284431604,0.00850787044484437,0.07406294857575793,0.15619969773314982,0.10428272753557166,0.14625056044115856,0.005017921146953405,0.03775936405281595,0.0015357078588138513,0.020804711693878167,0.43
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6649182963934658,0.21671974407262168,0.3964818035980995,0.5613584123725359,1.0,0.0,0.45724608690474483,0.16568047337278108,0.5218871814343533,0.0,0.05050697511519855,0.09584943291646995,0.12829058658979076,0.11497366271236442,0.017391304347826087,0.011611992795245996,0.0,0.006804449323524271,0.7
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8746408276423141,0.07919823202504145,0.774214644400327,0.8394550438725868,1.0,0.0,0.40695593598583774,0.1301775147928994,0.6028453391552615,0.09127514249327778,0.34013258943649166,0.26811614282839474,0.0,0.2471976031996794,0.033918128654970764,0.005959759274229768,0.005141520347566776,0.008316139503455614,1.9
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8263257469761269,0.0636500992179811,0.6871939863672961,0.8708965492442186,1.0,0.0,0.5175299211231061,0.47041420118343197,0.454624531246497,0.15944944561647986,0.2490653323192052,0.45558345999258965,0.5584588657382291,0.5400523084536862,0.004651162790697674,0.04321870530439649,0.023730093911846658,0.13142443712342722,1.6
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.864007278316432,0.09234579536367793,0.7550624781034683,0.8128679810744165,1.0,0.0,0.6076804878200035,0.28994082840236685,0.4914275771257548,0.09127514249327778,0.2811916620747184,0.3481844807736947,0.3126587177714409,0.36415397977361075,0.009009009009009009,0.022492252762058743,0.009640350651687704,0.04332001306739849,1.5
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7995200570034684,0.010543982748490888,0.6389140549610626,0.9782879811905523,1.0,0.0,0.39270957085477043,0.5828402366863905,0.285264874482679,0.008326412142374201,0.11824870980709674,0.3260924718318639,0.2831741882167234,0.338129467388105,0.0012698412698412698,0.13777957423874965,0.002403917838504846,0.12012871775302604,-0.14
